Installing dependencies from requirements.txt...
Loading dataset: tatsu-lab/alpaca
Total samples loaded: 52002
Dropped 28 samples with empty output fields.
Train dataset size:      46776
Validation dataset size: 5198
Output directory: ./sft-lora-Phi-3.5-mini-instruct-alpaca-r32-a64-d0.05-lr1.0e-04-wd0.01
Train dataset size:      46776
Validation dataset size: 5198
Max sequence length: 131072
{'eval_loss': '1.873', 'eval_runtime': '189', 'eval_samples_per_second': '27.5', 'eval_steps_per_second': '6.878', 'eval_entropy': '1.123', 'eval_num_tokens': '0', 'eval_mean_token_accuracy': '0.6057', 'epoch': 0}
{'loss': '1.811', 'grad_norm': '2.858', 'learning_rate': '0', 'entropy': '1.138', 'num_tokens': '4504', 'mean_token_accuracy': '0.6026', 'epoch': '0.0006841'}
{'loss': '1.85', 'grad_norm': '3.385', 'learning_rate': '9.112e-07', 'entropy': '1.111', 'num_tokens': '2.008e+04', 'mean_token_accuracy': '0.6055', 'epoch': '0.003421'}
{'loss': '1.835', 'grad_norm': '3.027', 'learning_rate': '2.05e-06', 'entropy': '1.109', 'num_tokens': '3.981e+04', 'mean_token_accuracy': '0.6096', 'epoch': '0.006841'}
{'loss': '1.795', 'grad_norm': '2.794', 'learning_rate': '3.189e-06', 'entropy': '1.151', 'num_tokens': '5.966e+04', 'mean_token_accuracy': '0.6209', 'epoch': '0.01026'}
{'loss': '1.686', 'grad_norm': '2.052', 'learning_rate': '4.328e-06', 'entropy': '1.171', 'num_tokens': '7.988e+04', 'mean_token_accuracy': '0.6327', 'epoch': '0.01368'}
{'loss': '1.592', 'grad_norm': '1.994', 'learning_rate': '5.467e-06', 'entropy': '1.2', 'num_tokens': '9.942e+04', 'mean_token_accuracy': '0.637', 'epoch': '0.0171'}
{'loss': '1.452', 'grad_norm': '1.369', 'learning_rate': '6.606e-06', 'entropy': '1.15', 'num_tokens': '1.201e+05', 'mean_token_accuracy': '0.6672', 'epoch': '0.02052'}
{'loss': '1.285', 'grad_norm': '1.987', 'learning_rate': '7.745e-06', 'entropy': '0.9962', 'num_tokens': '1.399e+05', 'mean_token_accuracy': '0.696', 'epoch': '0.02394'}
{'loss': '1.254', 'grad_norm': '1.124', 'learning_rate': '8.884e-06', 'entropy': '1.005', 'num_tokens': '1.593e+05', 'mean_token_accuracy': '0.7146', 'epoch': '0.02736'}
{'loss': '1.139', 'grad_norm': '1.024', 'learning_rate': '1.002e-05', 'entropy': '0.9976', 'num_tokens': '1.789e+05', 'mean_token_accuracy': '0.7281', 'epoch': '0.03079'}
{'loss': '1.059', 'grad_norm': '1.075', 'learning_rate': '1.116e-05', 'entropy': '0.9415', 'num_tokens': '1.995e+05', 'mean_token_accuracy': '0.7368', 'epoch': '0.03421'}
{'eval_loss': '1.044', 'eval_runtime': '188.4', 'eval_samples_per_second': '27.59', 'eval_steps_per_second': '6.899', 'eval_entropy': '0.954', 'eval_num_tokens': '1.995e+05', 'eval_mean_token_accuracy': '0.7416', 'epoch': '0.03421'}
{'loss': '1.036', 'grad_norm': '0.6252', 'learning_rate': '1.23e-05', 'entropy': '0.9464', 'num_tokens': '2.202e+05', 'mean_token_accuracy': '0.7432', 'epoch': '0.03763'}
{'loss': '1.021', 'grad_norm': '2.661', 'learning_rate': '1.344e-05', 'entropy': '0.9624', 'num_tokens': '2.401e+05', 'mean_token_accuracy': '0.7465', 'epoch': '0.04105'}
{'loss': '0.9923', 'grad_norm': '0.8889', 'learning_rate': '1.458e-05', 'entropy': '0.9638', 'num_tokens': '2.612e+05', 'mean_token_accuracy': '0.7476', 'epoch': '0.04447'}
{'loss': '0.9467', 'grad_norm': '0.7695', 'learning_rate': '1.572e-05', 'entropy': '0.9481', 'num_tokens': '2.82e+05', 'mean_token_accuracy': '0.763', 'epoch': '0.04789'}
{'loss': '0.8994', 'grad_norm': '0.3804', 'learning_rate': '1.686e-05', 'entropy': '0.9176', 'num_tokens': '3.022e+05', 'mean_token_accuracy': '0.7663', 'epoch': '0.05131'}
{'loss': '0.9012', 'grad_norm': '0.3635', 'learning_rate': '1.8e-05', 'entropy': '0.899', 'num_tokens': '3.221e+05', 'mean_token_accuracy': '0.7682', 'epoch': '0.05473'}
{'loss': '0.8883', 'grad_norm': '0.4251', 'learning_rate': '1.913e-05', 'entropy': '0.9058', 'num_tokens': '3.43e+05', 'mean_token_accuracy': '0.7637', 'epoch': '0.05815'}
{'loss': '0.8538', 'grad_norm': '0.2981', 'learning_rate': '2.027e-05', 'entropy': '0.869', 'num_tokens': '3.637e+05', 'mean_token_accuracy': '0.7733', 'epoch': '0.06157'}
{'loss': '0.866', 'grad_norm': '0.3817', 'learning_rate': '2.141e-05', 'entropy': '0.8618', 'num_tokens': '3.84e+05', 'mean_token_accuracy': '0.7707', 'epoch': '0.06499'}
{'loss': '0.855', 'grad_norm': '0.3269', 'learning_rate': '2.255e-05', 'entropy': '0.8206', 'num_tokens': '4.033e+05', 'mean_token_accuracy': '0.7768', 'epoch': '0.06841'}
{'eval_loss': '0.8579', 'eval_runtime': '188.3', 'eval_samples_per_second': '27.6', 'eval_steps_per_second': '6.903', 'eval_entropy': '0.8442', 'eval_num_tokens': '4.033e+05', 'eval_mean_token_accuracy': '0.772', 'epoch': '0.06841'}
{'loss': '0.8691', 'grad_norm': '0.3438', 'learning_rate': '2.369e-05', 'entropy': '0.8332', 'num_tokens': '4.23e+05', 'mean_token_accuracy': '0.7722', 'epoch': '0.07183'}
{'loss': '0.8883', 'grad_norm': '0.2504', 'learning_rate': '2.483e-05', 'entropy': '0.8896', 'num_tokens': '4.453e+05', 'mean_token_accuracy': '0.7693', 'epoch': '0.07525'}
{'loss': '0.8663', 'grad_norm': '0.2211', 'learning_rate': '2.597e-05', 'entropy': '0.8617', 'num_tokens': '4.66e+05', 'mean_token_accuracy': '0.7709', 'epoch': '0.07867'}
{'loss': '0.8628', 'grad_norm': '0.2268', 'learning_rate': '2.711e-05', 'entropy': '0.8427', 'num_tokens': '4.864e+05', 'mean_token_accuracy': '0.772', 'epoch': '0.08209'}
{'loss': '0.8618', 'grad_norm': '0.2215', 'learning_rate': '2.825e-05', 'entropy': '0.8431', 'num_tokens': '5.057e+05', 'mean_token_accuracy': '0.774', 'epoch': '0.08551'}
{'loss': '0.8468', 'grad_norm': '0.2286', 'learning_rate': '2.938e-05', 'entropy': '0.8562', 'num_tokens': '5.251e+05', 'mean_token_accuracy': '0.7765', 'epoch': '0.08893'}
{'loss': '0.8813', 'grad_norm': '0.2258', 'learning_rate': '3.052e-05', 'entropy': '0.861', 'num_tokens': '5.457e+05', 'mean_token_accuracy': '0.7661', 'epoch': '0.09236'}
{'loss': '0.8435', 'grad_norm': '0.2257', 'learning_rate': '3.166e-05', 'entropy': '0.8339', 'num_tokens': '5.651e+05', 'mean_token_accuracy': '0.7766', 'epoch': '0.09578'}
{'loss': '0.8536', 'grad_norm': '0.2194', 'learning_rate': '3.28e-05', 'entropy': '0.859', 'num_tokens': '5.856e+05', 'mean_token_accuracy': '0.7745', 'epoch': '0.0992'}
