Installing dependencies from requirements.txt...
Loading dataset: tatsu-lab/alpaca
Total samples loaded: 52002
Dropped 28 samples with empty output fields.
Train dataset size:      46776
Validation dataset size: 5198
Output directory: /work/gvx508/llmProject/checkpoints/sft-lora-Llama-3.2-3B-alpaca-r32-a64-d0.05-lr1.0e-04-wd0.01
Train dataset size:      46776
Validation dataset size: 5198
Max sequence length: 131072
{'eval_loss': '2.353', 'eval_runtime': '162.5', 'eval_samples_per_second': '31.99', 'eval_steps_per_second': '8', 'eval_entropy': '2.408', 'eval_num_tokens': '0', 'eval_mean_token_accuracy': '0.4913', 'epoch': 0}
{'loss': '2.289', 'grad_norm': '1.972', 'learning_rate': '0', 'entropy': '2.335', 'num_tokens': '3703', 'mean_token_accuracy': '0.4958', 'epoch': '0.0006841'}
{'loss': '2.299', 'grad_norm': '2.337', 'learning_rate': '9.112e-07', 'entropy': '2.427', 'num_tokens': '1.645e+04', 'mean_token_accuracy': '0.4899', 'epoch': '0.003421'}
{'loss': '2.318', 'grad_norm': '1.899', 'learning_rate': '2.05e-06', 'entropy': '2.408', 'num_tokens': '3.252e+04', 'mean_token_accuracy': '0.4944', 'epoch': '0.006841'}
{'loss': '2.306', 'grad_norm': '1.862', 'learning_rate': '3.189e-06', 'entropy': '2.456', 'num_tokens': '4.868e+04', 'mean_token_accuracy': '0.4871', 'epoch': '0.01026'}
{'loss': '2.237', 'grad_norm': '1.46', 'learning_rate': '4.328e-06', 'entropy': '2.417', 'num_tokens': '6.514e+04', 'mean_token_accuracy': '0.4934', 'epoch': '0.01368'}
{'loss': '2.157', 'grad_norm': '1.656', 'learning_rate': '5.467e-06', 'entropy': '2.373', 'num_tokens': '8.111e+04', 'mean_token_accuracy': '0.495', 'epoch': '0.0171'}
{'loss': '2.031', 'grad_norm': '1.571', 'learning_rate': '6.606e-06', 'entropy': '2.278', 'num_tokens': '9.804e+04', 'mean_token_accuracy': '0.5215', 'epoch': '0.02052'}
{'loss': '1.861', 'grad_norm': '1.877', 'learning_rate': '7.745e-06', 'entropy': '2.203', 'num_tokens': '1.142e+05', 'mean_token_accuracy': '0.5505', 'epoch': '0.02394'}
{'loss': '1.772', 'grad_norm': '1.817', 'learning_rate': '8.884e-06', 'entropy': '2.121', 'num_tokens': '1.301e+05', 'mean_token_accuracy': '0.5772', 'epoch': '0.02736'}
{'loss': '1.629', 'grad_norm': '1.619', 'learning_rate': '1.002e-05', 'entropy': '1.955', 'num_tokens': '1.462e+05', 'mean_token_accuracy': '0.6129', 'epoch': '0.03079'}
{'loss': '1.459', 'grad_norm': '1.084', 'learning_rate': '1.116e-05', 'entropy': '1.633', 'num_tokens': '1.629e+05', 'mean_token_accuracy': '0.6448', 'epoch': '0.03421'}
{'eval_loss': '1.445', 'eval_runtime': '162', 'eval_samples_per_second': '32.08', 'eval_steps_per_second': '8.024', 'eval_entropy': '1.567', 'eval_num_tokens': '1.629e+05', 'eval_mean_token_accuracy': '0.664', 'epoch': '0.03421'}
{'loss': '1.407', 'grad_norm': '0.9213', 'learning_rate': '1.23e-05', 'entropy': '1.439', 'num_tokens': '1.797e+05', 'mean_token_accuracy': '0.6736', 'epoch': '0.03763'}
{'loss': '1.358', 'grad_norm': '1.167', 'learning_rate': '1.344e-05', 'entropy': '1.326', 'num_tokens': '1.961e+05', 'mean_token_accuracy': '0.6804', 'epoch': '0.04105'}
{'loss': '1.315', 'grad_norm': '0.901', 'learning_rate': '1.458e-05', 'entropy': '1.35', 'num_tokens': '2.134e+05', 'mean_token_accuracy': '0.6825', 'epoch': '0.04447'}
{'loss': '1.27', 'grad_norm': '0.8199', 'learning_rate': '1.572e-05', 'entropy': '1.303', 'num_tokens': '2.303e+05', 'mean_token_accuracy': '0.6945', 'epoch': '0.04789'}
{'loss': '1.239', 'grad_norm': '1.007', 'learning_rate': '1.686e-05', 'entropy': '1.272', 'num_tokens': '2.467e+05', 'mean_token_accuracy': '0.6978', 'epoch': '0.05131'}
{'loss': '1.235', 'grad_norm': '2.117', 'learning_rate': '1.8e-05', 'entropy': '1.21', 'num_tokens': '2.63e+05', 'mean_token_accuracy': '0.6992', 'epoch': '0.05473'}
{'loss': '1.227', 'grad_norm': '0.7819', 'learning_rate': '1.913e-05', 'entropy': '1.224', 'num_tokens': '2.8e+05', 'mean_token_accuracy': '0.6937', 'epoch': '0.05815'}
{'loss': '1.166', 'grad_norm': '0.6031', 'learning_rate': '2.027e-05', 'entropy': '1.196', 'num_tokens': '2.968e+05', 'mean_token_accuracy': '0.7109', 'epoch': '0.06157'}
{'loss': '1.176', 'grad_norm': '0.6411', 'learning_rate': '2.141e-05', 'entropy': '1.187', 'num_tokens': '3.135e+05', 'mean_token_accuracy': '0.7106', 'epoch': '0.06499'}
{'loss': '1.16', 'grad_norm': '0.6579', 'learning_rate': '2.255e-05', 'entropy': '1.159', 'num_tokens': '3.292e+05', 'mean_token_accuracy': '0.7118', 'epoch': '0.06841'}
{'eval_loss': '1.167', 'eval_runtime': '159.9', 'eval_samples_per_second': '32.51', 'eval_steps_per_second': '8.13', 'eval_entropy': '1.201', 'eval_num_tokens': '3.292e+05', 'eval_mean_token_accuracy': '0.7063', 'epoch': '0.06841'}
{'loss': '1.175', 'grad_norm': '0.6911', 'learning_rate': '2.369e-05', 'entropy': '1.182', 'num_tokens': '3.453e+05', 'mean_token_accuracy': '0.7081', 'epoch': '0.07183'}
{'loss': '1.179', 'grad_norm': '0.7758', 'learning_rate': '2.483e-05', 'entropy': '1.214', 'num_tokens': '3.636e+05', 'mean_token_accuracy': '0.7071', 'epoch': '0.07525'}
{'loss': '1.169', 'grad_norm': '0.8552', 'learning_rate': '2.597e-05', 'entropy': '1.18', 'num_tokens': '3.804e+05', 'mean_token_accuracy': '0.7019', 'epoch': '0.07867'}
